Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,selfservice.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.selfservice.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.selfservice.starbucks.com.txt
http,80,relay.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.relay.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.relay.starbucks.com.txt
http,80,developer.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.developer.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.developer.starbucks.com.txt
http,80,xss.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.xss.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.xss.starbucks.com.txt
http,80,portal-test.starbucks.com,BadStatus,/home/kali/Desktop/2024-05-24_001313/screens/http.portal-test.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.portal-test.starbucks.com.txt
http,80,atlas.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.atlas.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.atlas.starbucks.com.txt
http,80,transportation.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.transportation.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.transportation.starbucks.com.txt
http,80,members.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.members.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.members.starbucks.com.txt
http,80,win.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.win.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.win.starbucks.com.txt
http,80,mobile.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.mobile.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.mobile.starbucks.com.txt
http,80,careers.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.careers.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.careers.starbucks.com.txt
http,80,www.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.www.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.www.starbucks.com.txt
http,80,meet.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.meet.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.meet.starbucks.com.txt
http,80,mexico.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.mexico.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.mexico.starbucks.com.txt
http,80,community.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.community.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.community.starbucks.com.txt
http,80,share.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.share.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.share.starbucks.com.txt
http,80,trace.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.trace.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.trace.starbucks.com.txt
http,80,www.archive.starbucks.com,Successful,/home/kali/Desktop/2024-05-24_001313/screens/http.vote.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.www.archive.starbucks.com.txt
http,80,gr.starbucks.com,Timeout,/home/kali/Desktop/2024-05-24_001313/screens/http.gr.starbucks.com.png,/home/kali/Desktop/2024-05-24_001313/source/http.gr.starbucks.com.txt
