URL,80
dr-federate.starbucks.com,X,
pf.ucp.starbucks.com,X,
d01-1-ag.productioncontroller.starbucks.com,X,
focus-rest-pd.starbucks.com,X,
media.scm.starbucks.com,X,
previewaten.starbucks.com,X,
sts-vis-dev1-chd.starbucks.com,X,
stagesecureui-chd.starbucks.com,X,
eapi-p.starbucks.com,X,
cert-departments-ec3.starbucks.com,X,
ldap-iad.starbucks.com,X,
sts-vis-cloud4-iad.starbucks.com,X,
stagehost-chd.starbucks.com,X,
sts-vis-main.starbucks.com,X,
kdreq-a-v9.starbucks.com,X,
bi-cap-tbuat.starbucks.com,X,
previewroen.starbucks.com,X,
fintech-asp-ct.starbucks.com,X,
previewfrfr.starbucks.com,X,
connectadmindev.starbucks.com,X,
sts-vis-dev2-chd.starbucks.com,X,
blogs-chd.starbucks.com,X,
previewcoes.starbucks.com,X,
testpartnercentral.starbucks.com,X,
bicap-tb.starbucks.com,X,
previewatde.starbucks.com,X,
api.ngsaas.beta.starbucks.com,X,
sts-vis-dev-cloud3-chd.starbucks.com,X,
previewhuhu.starbucks.com,X,
edap.starbucks.com,X,
e02.spc.starbucks.com,X,
api-chd.starbucks.com,X,
previewcles.starbucks.com,X,
storedesign-st.starbucks.com,X,
global-wcmsvcs-chd.starbucks.com,X,
previewthth.starbucks.com,X,
test1-owa.starbucks.com,X,
previeweses.starbucks.com,X,
ctoutage.starbucks.com,X,
sts-vis-dev0-chd.starbucks.com,X,
previewmyen.starbucks.com,X,
d-cpath-iad.starbucks.com,X,
scm-asp.starbucks.com,X,
globalstandards.starbucks.com,X,
stagesecurepaymentprocessor.starbucks.com,X,
test16-chd.starbucks.com,X,
avatars.scm.starbucks.com,X,
connectdev.starbucks.com,X,
testusen-sec.starbucks.com,X,
previewplpl.starbucks.com,X,
cdx-atm-sd.starbucks.com,X,
sbux-viz.starbucks.com,X,
testusen-chd.starbucks.com,X,
previewhken.starbucks.com,X,
cashmgmt-prod-iad.starbucks.com,X,
stagedigital-chd.starbucks.com,X,
compass-prodb.starbucks.com,X,
stg-coffeeexpo2021.starbucks.com,X,
binrepo.starbucks.com,X,
previewieen.starbucks.com,X,
activesync-iad.starbucks.com,X,
loadapi-chd.starbucks.com,X,
previewgrel.starbucks.com,X,
sorry-chd.starbucks.com,X,
dr-acme.starbucks.com,X,
gd.ucp.starbucks.com,X,
www-iad.starbucks.com,X,
cert-mysite-ec3.starbucks.com,X,
globalwcmsvcs2.starbucks.com,X,
reval-cert.starbucks.com,X,
previewczen.starbucks.com,X,
stage.ucp.starbucks.com,X,
shipper.starbucks.com,X,
pdx-asp.starbucks.com,X,
pf.spc.starbucks.com,X,
previewphen.starbucks.com,X,
connectstaging.starbucks.com,X,
acme-chd.starbucks.com,X,
test6-iad.starbucks.com,X,
s03-ssa.productioncontroller.starbucks.com,X,
previewmxes.starbucks.com,X,
r01-1-ag.productioncontroller.starbucks.com,X,
digitalcart-test.starbucks.com,X,
stagesecurepaymenthub.starbucks.com,X,
securepaymentprocessor.starbucks.com,X,
shipper-sand.starbucks.com,X,
load.ucp.starbucks.com,X,
testwww5.starbucks.com,X,
storedesign.starbucks.com,X,
connectinteg.starbucks.com,X,
testwww6.starbucks.com,X,
datapulse-dev.starbucks.com,X,
test14securepaymenthub.starbucks.com,X,
ms-sts-chd.starbucks.com,X,
datapulse-uat-app.starbucks.com,X,
ct.ucp.starbucks.com,X,
previewseen.starbucks.com,X,
testwww2.starbucks.com,X,
load-ideas-origin.test.starbucks.com,X,
d02-ssa.productioncontroller.starbucks.com,X,
www.thestarbucksmarket.starbucks.com,X,
loadassets.starbucks.com,X,
workspace-chd.starbucks.com,X,
d.mx.m.e.starbucks.com,X,
f.ns.e.starbucks.com,X,
a.mx.m.e.starbucks.com,X,
m.e.starbucks.com,X,
b.e.starbucks.com,X,
reg.e.starbucks.com,X,
e.starbucks.com,X,
tsticommerceagent.starbucks.com,X,
loadglobalassets.starbucks.com,X,
en-us.test.starbucks.com,X,
e.stories.starbucks.com,X,
raf.e.starbucks.com,X,
d.mx.b.e.starbucks.com,X,
c.ns.e.starbucks.com,X,
c.mx.b.e.starbucks.com,X,
e.ns.e.starbucks.com,X,
b.mx.b.e.starbucks.com,X,
b.mx.m.e.starbucks.com,X,
d.ns.e.starbucks.com,X,
a.mx.b.e.starbucks.com,X,
a.ns.e.starbucks.com,X,
en-ca.test.starbucks.com,X,
app.test.starbucks.com,X,
b.ns.e.starbucks.com,X,
c.mx.m.e.starbucks.com,X,
ebm.e.starbucks.com,X,
b.mx.a.starbucks.com,X,
icommerceagent.starbucks.com,X,
a.mx.e.starbucks.com,X,
customerservice.starbucks.com,X,
ny7p01lppmta282.e.starbucks.com,X,
ordering.starbucks.com,X,
bi-gis-cert.starbucks.com,X,
prodedqapps.starbucks.com,X,
sgsmsuppliertest.starbucks.com,X,
bi-gis-dev.starbucks.com,X,
cms.starbucks.com,X,
en-ie.test.starbucks.com,X,
produpgpospa1.starbucks.com,X,
biuat-cap.starbucks.com,X,
green.starbucks.com,X,
intl.starbucks.com,X,
loadgreen.starbucks.com,X,
x.a.starbucks.com,X,
stagecaenstore.starbucks.com,X,
loadwww.starbucks.com,X,
testsecurehost.openapi.starbucks.com,X,
ie.starbucks.com,X,
jobs.starbucks.com,X,
quality.starbucks.com,X,
stage.openapi.starbucks.com,X,
prodltycrmapps-dr.starbucks.com,X,
summer.starbucks.com,X,
stagecafrstore.starbucks.com,X,
eastus.digitalcart-cert.starbucks.com,X,
test8www.starbucks.com,X,
loadsecureui.starbucks.com,X,
wfmnalcndv.starbucks.com,X,
stagestore.starbucks.com,X,
wfmnalcnst.starbucks.com,X,
www.starbucks.com,X,
certcrmpospa2-dr.starbucks.com,X,
ordering-prod-a-profile.starbucks.com,X,
wfmnaposst.starbucks.com,X,
phantom.starbucks.com,X,
sso-cert-group.starbucks.com,X,
yourespresso.starbucks.com,X,
wfmnapimdv.starbucks.com,X,
compass-prod.starbucks.com,X,
mobility-cert.starbucks.com,X,
prodcdhapps-oid.starbucks.com,X,
digitalcart-dev.starbucks.com,X,
svcardproxyloadus.starbucks.com,X,
eastus.digitalcart-dev.starbucks.com,X,
wfmnalcnct.starbucks.com,X,
